source,line,endpoint_expression,status
frontend_web/src/layouts/TopBarActions.tsx,777,/client-profile/pharmacies/,Source reference; not live verified
frontend_web/src/pages/dashboard/admin/AdminOverview.tsx,30,/client-profile/pill-rewards/balance/,Source reference; not live verified
frontend_web/src/pages/dashboard/admin/AdminOverview.tsx,49,/client-profile/dashboard/owner/,Source reference; not live verified
frontend_web/src/pages/dashboard/organization/OrganizationOverviewPage.tsx,79,/client-profile/pill-rewards/balance/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/ActiveShiftsPage/hooks/useShareShift.ts,22,/client-profile/pill-rewards/refer-shift/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/ActiveShiftsPage/index.tsx,409,/client-profile/pill-rewards/pay-shift/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/ActiveShiftsPage/index.tsx,430,/billing/charge-fulfillment/${shift.id}/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/ActiveShiftsPage/index.tsx,977,/client-profile/shift-offers/${offerId}/buzz/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/ManageMembershipsPage.tsx,76,/client-profile/my-memberships/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/ManageMembershipsPage.tsx,93,/client-profile/my-memberships/${membership.id}/${action}/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/OverviewPageStaff.tsx,114,/client-profile/dashboard/pharmacist/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/OverviewPageStaff.tsx,116,/client-profile/dashboard/otherstaff/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/owner/membershipApi.ts,15,/client-profile/memberships/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/owner/OwnerBillingPage.tsx,85,/billing/subscription/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/owner/OwnerBillingPage.tsx,167,/billing/subscription/seats/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/owner/OwnerOverviewContainer.tsx,172,/client-profile/dashboard/owner/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/owner/OwnerOverviewHome.tsx,136,/client-profile/pill-rewards/balance/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,272,/client-profile/calendar-feed/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,514,/client-profile/calendar-events/${editingEventId}/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,516,/client-profile/calendar-events/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,580,/client-profile/work-notes/${editingNoteId}/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,582,/client-profile/work-notes/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,1215,/client-profile/calendar-events/${baseId}/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,1248,/client-profile/work-notes/${baseId}/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,1269,/client-profile/work-notes/${baseId}/${action}/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,578,/client-profile/shift-description-templates/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,630,/client-profile/shift-description-templates/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/PostShiftPage.tsx,666,/client-profile/pharmacies/${pharmacyId}/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/rewards/PillsPage.tsx,76,/client-profile/pill-rewards/balance/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/rewards/PillsPage.tsx,93,/client-profile/pill-rewards/history/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/rewards/PillsPage.tsx,112,/client-profile/pill-rewards/referrals/,Source reference; not live verified
frontend_web/src/pages/dashboard/sidebar/ShiftsBoard/utils/submitCounterOffer.ts,16,/client-profile/shifts/${payload.shiftId}/counter-offers/,Source reference; not live verified
frontend_web/src/pages/MobileOTPVerify.tsx,56,/users/mobile/request-otp/,Source reference; not live verified
