route,kind,source,implementation_imports,access,runtime_status
/+not-found,route,frontend_mobile/app/+not-found.tsx,../context/AuthContext,Inspect root/role layouts and screen capability checks,Not tested
/_layout,layout,frontend_mobile/app/_layout.tsx,../context/AuthContext; ../context/WorkspaceContext; ../constants/theme; ../components/OfflineBanner; ../config/api; ../utils/ownerSetup; ../utils/sslPinning; ../roles/shared/forms/UnsavedChangesDialogProvider; ../roles/shared/forms/UnsavedChangesRegistryProvider; ../utils/appUpdates,Inspect root/role layouts and screen capability checks,Not tested
/admin/:pharmacyId/pills,route,frontend_mobile/app/admin/[pharmacyId]/pills.tsx,@/roles/shared/pills/PillsScreen,Inspect root/role layouts and screen capability checks,Not tested
/admin/:pharmacyId/post-shift,route,frontend_mobile/app/admin/[pharmacyId]/post-shift.tsx,@/roles/admin/post-shift,Inspect root/role layouts and screen capability checks,Not tested
/admin/_layout,layout,frontend_mobile/app/admin/_layout.tsx,@/context/AuthContext,Inspect root/role layouts and screen capability checks,Not tested
/admin/chat,route,frontend_mobile/app/admin/chat.tsx,@/roles/shared/chat,Inspect root/role layouts and screen capability checks,Not tested
/admin,route,frontend_mobile/app/admin/index.tsx,@/context/AuthContext; @/utils/apiClient; @/components/HomeNavigationGrid; @/roles/shared/dashboard/dashboardScope,Inspect root/role layouts and screen capability checks,Not tested
/admin/invoice/:id,route,frontend_mobile/app/admin/invoice/[id].tsx,@/roles/shared/invoices/InvoiceDetail,Inspect root/role layouts and screen capability checks,Not tested
/admin/invoice/new,route,frontend_mobile/app/admin/invoice/new.tsx,@/roles/shared/invoices/InvoiceGenerate,Inspect root/role layouts and screen capability checks,Not tested
/admin/invoice,route,frontend_mobile/app/admin/invoice.tsx,@/roles/shared/invoices/InvoiceList,Inspect root/role layouts and screen capability checks,Not tested
/admin/messages/:id,route,frontend_mobile/app/admin/messages/[id].tsx,../../../roles/shared/messages/[id],Inspect root/role layouts and screen capability checks,Not tested
/admin/notifications,route,frontend_mobile/app/admin/notifications.tsx,@/features/notifications/NotificationsScreen,Inspect root/role layouts and screen capability checks,Not tested
/admin/pharmacies/:id/edit,route,frontend_mobile/app/admin/pharmacies/[id]/edit.tsx,@/roles/shared/pharmacies/PharmacyForm,Inspect root/role layouts and screen capability checks,Not tested
/admin/pharmacies/:id/locums,route,frontend_mobile/app/admin/pharmacies/[id]/locums.tsx,@chemisttasker/shared-core; @/roles/shared/pharmacies/membershipApi; @/roles/shared/pharmacies/StaffManager,Inspect root/role layouts and screen capability checks,Not tested
/admin/pharmacies/:id/staff,route,frontend_mobile/app/admin/pharmacies/[id]/staff.tsx,@chemisttasker/shared-core; @/roles/shared/pharmacies/membershipApi; @/roles/shared/pharmacies/StaffManager,Inspect root/role layouts and screen capability checks,Not tested
/admin/pharmacies/:id,route,frontend_mobile/app/admin/pharmacies/[id].tsx,@chemisttasker/shared-core; @/roles/shared/pharmacies/membershipApi; @/roles/shared/pharmacies/PharmacyDetailView,Inspect root/role layouts and screen capability checks,Not tested
/admin/pharmacies/add,route,frontend_mobile/app/admin/pharmacies/add.tsx,@/roles/shared/pharmacies/PharmacyForm,Inspect root/role layouts and screen capability checks,Not tested
/admin/pharmacies,route,frontend_mobile/app/admin/pharmacies/index.tsx,../../../roles/shared/pharmacies/PharmacyOverviewContainer,Inspect root/role layouts and screen capability checks,Not tested
/admin/pills,route,frontend_mobile/app/admin/pills.tsx,@/roles/shared/pills/PillsScreen,Inspect root/role layouts and screen capability checks,Not tested
/admin/post-shift,route,frontend_mobile/app/admin/post-shift.tsx,@/roles/admin/post-shift,Inspect root/role layouts and screen capability checks,Not tested
/admin/shifts/:id,route,frontend_mobile/app/admin/shifts/[id].tsx,../../../roles/owner/shifts/[id],Inspect root/role layouts and screen capability checks,Not tested
/admin/shifts,route,frontend_mobile/app/admin/shifts/index.tsx,@/roles/admin/shifts/index,Inspect root/role layouts and screen capability checks,Not tested
/contact,route,frontend_mobile/app/contact.tsx,../context/AuthContext; @chemisttasker/shared-core,Inspect root/role layouts and screen capability checks,Not tested
/explorer/_layout,layout,frontend_mobile/app/explorer/_layout.tsx,@chemisttasker/shared-core; ../../context/AuthContext; @/utils/notificationNavigation; @/utils/chatRoutes,Inspect root/role layouts and screen capability checks,Not tested
/explorer/availability,route,frontend_mobile/app/explorer/availability.tsx,@/roles/explorer/availability,Inspect root/role layouts and screen capability checks,Not tested
/explorer/calendar,route,frontend_mobile/app/explorer/calendar.tsx,@/roles/shared/calendar,Inspect root/role layouts and screen capability checks,Not tested
/explorer/chat,route,frontend_mobile/app/explorer/chat.tsx,@/roles/shared/chat,Inspect root/role layouts and screen capability checks,Not tested
/explorer/dashboard,route,frontend_mobile/app/explorer/dashboard.tsx,@/roles/explorer/dashboard,Inspect root/role layouts and screen capability checks,Not tested
/explorer/messages/:id,route,frontend_mobile/app/explorer/messages/[id].tsx,../../../roles/shared/messages/[id],Inspect root/role layouts and screen capability checks,Not tested
/explorer/notifications,route,frontend_mobile/app/explorer/notifications.tsx,@/features/notifications/NotificationsScreen,Inspect root/role layouts and screen capability checks,Not tested
/explorer/profile-basic-info,route,frontend_mobile/app/explorer/profile-basic-info.tsx,@/roles/explorer/profile-tabs/BasicInfoScreen,Inspect root/role layouts and screen capability checks,Not tested
