route,kind,components,route_guard,redirect,planned_host,source,line,runtime_status
/,index,LandingPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,116,Not tested
/pricing,page,PricingPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,117,Not tested
/pricing/organization,page,OrganizationPricingPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,118,Not tested
/login,page,Login,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,119,Not tested
/otp-verify,page,OTPVerify,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,120,Not tested
/mobile-verify,page,MobileOTPVerify,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,121,Not tested
/mobile-checkout-return,page,MobileCheckoutReturnPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,122,Not tested
/register,page,Register,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,123,Not tested
/password-reset,page,PasswordResetRequestPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,124,Not tested
/terms-of-service,page,TermsOfServicePage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,125,Not tested
/privacy-policy,page,PrivacyPolicyPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,126,Not tested
/account-deletion,page,AccountDeletionPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,127,Not tested
/shifts/public-board,page,PublicJobBoardPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,130,Not tested
/talent/public-board,page,PublicTalentBoardPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,131,Not tested
/shifts/link,page,SharedShiftLandingPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,132,Not tested
/organization/:slug,page,PublicOrganizationPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,133,Not tested
/membership/apply/:token,page,MembershipApplyPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,135,Not tested
/referee/questionnaire/:token,page,RefereeQuestionnairePage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,138,Not tested
/onboarding/referee-reject/:pk/:refIndex,page,RefereeRejectPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,139,Not tested
/reset-password/:uid/:token,page,ResetPasswordPage,No route-level guard; inspect page/session logic,,Next.js,frontend_web/src/main.tsx,142,Not tested
/dashboard/organization,group,"ProtectedRoute, OrganizationDashboardWrapper",ORG_ADMIN,,Vite,frontend_web/src/main.tsx,146,Not tested
/dashboard/organization,index,OrganizationOverviewPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,153,Not tested
/dashboard/organization/overview,page,OrganizationOverviewPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,154,Not tested
/dashboard/organization/pills,page,PillsPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,155,Not tested
/dashboard/organization/invite,page,InviteStaffPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,156,Not tested
/dashboard/organization/manage-pharmacies,group,,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,158,Not tested
/dashboard/organization/manage-pharmacies,index,PharmacyPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,160,Not tested
/dashboard/organization/manage-pharmacies/my-pharmacies,page,PharmacyPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,161,Not tested
/dashboard/organization/manage-pharmacies/my-chain,page,ChainPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,162,Not tested
/dashboard/organization/manage-pharmacies/roster,page,RosterOwnerPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,163,Not tested
/dashboard/organization/post-shift,page,PostShiftPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,167,Not tested
/dashboard/organization/shift-center,page,Navigate,ORG_ADMIN,active,Vite,frontend_web/src/main.tsx,168,Not tested
/dashboard/organization/shift-center/:section,page,OrganizationShiftCenterPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,169,Not tested
/dashboard/organization/invoice,group,Outlet,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,171,Not tested
/dashboard/organization/invoice,index,InvoiceManagePage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,174,Not tested
/dashboard/organization/invoice/new,page,InvoiceGeneratePage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,175,Not tested
/dashboard/organization/invoice/:id,page,InvoiceDetailPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,176,Not tested
/dashboard/organization/shifts,group,,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,180,Not tested
/dashboard/organization/shifts,index,PublicShiftsPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,182,Not tested
/dashboard/organization/shifts/public,page,PublicShiftsPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,183,Not tested
/dashboard/organization/shifts/community,page,CommunityShiftsPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,184,Not tested
/dashboard/organization/shifts/active,page,ActiveShiftsPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,185,Not tested
/dashboard/organization/shifts/confirmed,page,ConfirmedShiftsPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,186,Not tested
/dashboard/organization/shifts/history,page,HistoryShiftsPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,187,Not tested
/dashboard/organization/shifts/:id,page,PosterShiftDetailPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,188,Not tested
/dashboard/organization/interests,page,TalentBoard,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,192,Not tested
/dashboard/organization/learning,page,LearningMaterialsPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,193,Not tested
/dashboard/organization/chat,page,ChatPage,ORG_ADMIN,,Vite,frontend_web/src/main.tsx,194,Not tested
/dashboard/organization/pharmacy-hub,page,Navigate,ORG_ADMIN,/dashboard/pharmacy-hub,Vite,frontend_web/src/main.tsx,195,Not tested
